Timestamp,Open,High,Low,Close
2022-08-24 10:05:00,1748.54004,1748.70996,1748.43005,1748.64001
2022-08-24 10:00:00,1749.25000,1749.32996,1748.54004,1748.62000
2022-08-24 09:55:00,1749.67004,1749.71997,1748.89001,1749.23999
2022-08-24 09:50:00,1749.81006,1749.90002,1749.03003,1749.71997
2022-08-24 09:45:00,1750.34998,1750.39001,1749.59998,1749.84998
2022-08-24 09:40:00,1751.14001,1751.66003,1750.17004,1750.32996
2022-08-24 09:35:00,1752.14001,1752.14001,1751.06995,1751.14001
2022-08-24 09:30:00,1752.04004,1752.31006,1751.87000,1752.12000
2022-08-24 09:25:00,1752.14001,1752.35999,1751.95996,1751.96997
2022-08-24 09:20:00,1752.26001,1752.42004,1752.07996,1752.12000
2022-08-24 09:15:00,1753.01001,1753.10999,1751.93005,1752.33997
2022-08-24 09:10:00,1753.18994,1753.70996,1753.10999,1753.18005
2022-08-24 09:05:00,1752.80005,1753.28003,1752.37000,1753.15002
2022-08-24 09:00:00,1752.06995,1752.87000,1751.45996,1752.87000
2022-08-24 08:55:00,1752.01001,1752.48999,1751.48999,1752.08997
2022-08-24 08:50:00,1751.73999,1751.98999,1750.94995,1751.97998
2022-08-24 08:45:00,1751.05005,1752.43005,1750.96997,1751.88000
2022-08-24 08:40:00,1751.17004,1751.68994,1751.09998,1751.09998
2022-08-24 08:35:00,1750.63000,1751.98999,1750.63000,1751.26001
2022-08-24 08:30:00,1749.93994,1751.05005,1749.40002,1750.60999
2022-08-24 08:25:00,1749.69995,1750.29004,1749.47998,1749.96997
2022-08-24 08:20:00,1748.56995,1749.87000,1748.56006,1749.66003
2022-08-24 08:15:00,1747.83997,1749.06995,1747.65002,1748.62000
2022-08-24 08:10:00,1749.39001,1750.06995,1747.47998,1747.91003
2022-08-24 08:05:00,1748.54004,1749.73999,1748.54004,1749.41003
2022-08-24 08:00:00,1747.97998,1748.84998,1747.52002,1748.54004
2022-08-24 07:55:00,1747.01001,1748.18994,1746.63000,1747.98999
2022-08-24 07:50:00,1746.93994,1747.38000,1746.56995,1747.06006
2022-08-24 07:45:00,1745.93005,1747.17004,1745.76001,1747.02002
2022-08-24 07:40:00,1745.80005,1746.18005,1745.37000,1745.96997
